SYSTEM,COUNTY,VENDOR,ESC
LYTLE,ATASCOSA,BORDEN,0
LYTLE,ATASCOSA,OAK FARMS,0
TROY,BELL,OAK FARMS,0
EAST CENTRAL,BEXAR,BORDEN,0
EAST CENTRAL,BEXAR,OAK FARMS,0
EAST CENTRAL,BEXAR,PRESTON,0
EAST CENTRAL,BEXAR,SCHEPPS,0
JUDSON,BEXAR,BORDEN,0
JUDSON,BEXAR,OAK FARMS,0
JUDSON,BEXAR,SCHEPPS,0
NORTH EAST,BEXAR,BORDEN,0
NORTH EAST,BEXAR,OAK FARMS,0
NORTH EAST,BEXAR,PRESTON,0
NORTH EAST,BEXAR,SCHEPPS,0
NORTHSIDE,BEXAR,BORDEN,0
NORTHSIDE,BEXAR,OAK FARMS,0
NORTHSIDE,BEXAR,PRESTON,0
NORTHSIDE,BEXAR,SCHEPPS,0
SAN ANTONIO,BEXAR,BORDEN,1
SAN ANTONIO,BEXAR,PRESTON,1
SAN ANTONIO,BEXAR,SCHEPPS,1
SOUTHSIDE,BEXAR,BORDEN,0
SOUTHSIDE,BEXAR,PRESTON,0
SOUTHSIDE,BEXAR,SCHEPPS,0
SOUTHWEST,BEXAR,BORDEN,0
SOUTHWEST,BEXAR,PRESTON,0
MCKINNEY,COLLIN,CABELL,1
PLANO,COLLIN,BORDEN,1
PLANO,COLLIN,SCHEPPS,1
PRINCETON,COLLIN,BORDEN,1
WYLIE,COLLIN,CABELL,0
COMAL,COMAL,PRESTON,0
EVANT,CORYELL,BORDEN,0
CARROLLTON,DALLAS,SCHEPPS,0
DE SOTO,DALLAS,SCHEPPS,1
GARLAND,DALLAS,SCHEPPS,0
GRAND PRAIRIE,DALLAS,SCHEPPS,1
HIGHLAND PARK,DALLAS,SCHEPPS,1
LANCASTER,DALLAS,BORDEN,1
LANCASTER,DALLAS,OAK FARMS,0
RICHARDSON,DALLAS,CABELL,1
RICHARDSON,DALLAS,SCHEPPS,1
DENTON,DENTON,BORDEN,1
DENTON,DENTON,SCHEPPS,1
DENTON,DENTON,VANDERVOORT,0
LEWISVILLE,DENTON,BORDEN,1
LEWISVILLE,DENTON,CABELL,0
LEWISVILLE,DENTON,CABELL,1
LEWISVILLE,DENTON,SCHEPPS,1
LEWISVILLE,DENTON,VANDERVOORT,1
ENNIS,ELLIS,BORDEN,0
ENNIS,ELLIS,OAK FARMS,0
ENNIS,ELLIS,SCHEPPS,0
FERRIS,ELLIS,OAK FARMS,0
PALMER,ELLIS,OAK FARMS,0
RED OAK,ELLIS,OAK FARMS,0
WAXAHACHIE,ELLIS,OAK FARMS,0
CHILTON,FALLS,BORDEN,0
ROSEBUD,FALLS,BORDEN,0
WHITESBORO,GRAYSON,BORDEN,1
GRANBURY,HOOD,BORDEN,1
GRANBURY,HOOD,CABELL,1
CLEBURNE,JOHNSON,BORDEN,1
GODLEY,JOHNSON,VANDERVOORT,1
JOSHUA,JOHNSON,VANDERVOORT,1
CRANDALL,KAUFMAN,CABELL,0
PARIS,LAMAR,CABELL,0
CONNALLY,MC CLENNAN,BORDEN,0
MCGREGOR,MC CLENNAN,BORDEN,1
ROBINSON,MC CLENNAN,BORDEN,0
ROBINSON,MC CLENNAN,OAK FARMS,0
WACO,MC CLENNAN,BORDEN,0
WACO,MC CLENNAN,OAK FARMS,0
WEST,MC CLENNAN,BORDEN,0
MEDINA VALLEY,MEDINA,BORDEN,0
MEDINA VALLEY,MEDINA,PRESTON,0
GRAFORD,PALO PINTO,OAK FARMS,1
SANTO,PALO PINTO,BORDEN,1
PEASTER,PARKER,CABELL,1
WEATHERFORD,PARKER,BORDEN,1
WEATHERFORD,PARKER,CABELL,1
ARLINGTON,TARRANT,SCHEPPS,1
ARLINGTON,TARRANT,VANDERVOORT,1
CARROLL,TARRANT,CABELL,1
CASTLEBERRY,TARRANT,BORDEN,1
CASTLEBERRY,TARRANT,SCHEPPS,1
CROWLEY,TARRANT,SCHEPPS,0
CROWLEY,TARRANT,SCHEPPS,1
CROWLEY,TARRANT,VANDERVOORT,1
HEB,TARRANT,SCHEPPS,0
KELLER,TARRANT,VANDERVOORT,0
AUSTIN,TRAVIS,OAK FARMS,0
LA VERNIA,WILSON,BORDEN,0
LA VERNIA,WILSON,PRESTON,0
