year,month,price
1975,7,9.34
1975,8,9.43
1975,9,9.67
1975,10,10.02
1975,11,10.59
1975,12,10.92
1975,0,10
1976,1,11.16
1976,2,11.4
1976,3,11.22
1976,4,10.57
1976,5,10.92
1976,6,10.76
1976,7,10.62
1976,8,10.64
1976,9,11.03
1976,10,11.31
1976,11,10.78
1976,12,10.58
1976,0,10.92
1977,1,10.58
1977,2,10.57
1977,3,10.51
1977,4,10.48
1977,5,10.63
1977,6,10.92
1977,7,10.94
1977,8,10.92
1977,9,10.97
1977,10,10.96
1977,11,11.06
1977,12,11.06
1977,0,10.8
1978,1,11.11
1978,2,11.19
1978,3,11.23
1978,4,11.32
1978,5,11.41
1978,6,11.56
1978,7,11.57
1978,8,11.58
1978,9,11.65
1978,10,12
1978,11,12.22
1978,12,12.5
1978,0,11.61
1979,1,12.76
1979,2,12.92
1979,3,12.87
1979,4,12.84
1979,5,12.91
1979,6,12.95
1979,7,12.99
1979,8,13.08
1979,9,13.19
1979,10,13.41
1979,11,13.64
1979,12,13.57
1979,0,13.09
1980,1,13.59
1980,2,13.66
1980,3,13.69
1980,4,13.67
1980,5,13.91
1980,6,14
1980,7,13.98
1980,8,14
1980,9,14.05
1980,10,14.18
1980,11,14.39
1980,12,14.74
1980,0,13.99
1981,1,14.84
1981,2,14.93
1981,3,14.96
1981,4,14.98
1981,5,14.99
1981,6,14.96
1981,7,14.93
1981,8,14.91
1981,9,14.85
1981,10,14.79
1981,11,14.78
1981,12,14.84
1981,0,14.9
1982,1,14.84
1982,2,14.88
1982,3,14.87
1982,4,14.78
1982,5,14.77
1982,6,14.77
1982,7,14.75
1982,8,14.74
1982,9,14.74
1982,10,14.76
1982,11,14.78
1982,12,14.88
1982,0,14.8
1983,1,14.88
1983,2,14.94
1983,3,14.94
1983,4,14.91
1983,5,14.85
1983,6,14.83
1983,7,14.83
1983,8,14.82
1983,9,14.82
1983,10,14.8
1983,11,14.8
1983,12,14.84
1983,0,14.86
1984,1,14.88
1984,2,14.43
1984,3,14.37
1984,4,14.38
1984,5,14.4
1984,6,14.39
1984,7,14.4
1984,8,14.41
1984,9,14.49
1984,10,14.62
1984,11,14.96
1984,12,14.96
1984,0,14.56
1985,1,15.04
1985,2,14.84
1985,3,14.72
1985,4,14.53
1985,5,14.27
1985,6,13.94
1985,7,13.78
1985,8,13.52
1985,9,13.42
1985,10,13.4
1985,11,13.44
1985,12,13.53
1985,0,14.04
1986,1,13.51
1986,2,13.5
1986,3,13.44
1986,4,13.36
1986,5,14.3
1986,6,14.26
1986,7,14.26
1986,8,14.28
1986,9,14.34
1986,10,14.61
1986,11,14.83
1986,12,14.97
1986,0,14.14
1987,1,15.19
1987,2,15.16
1987,3,14.98
1987,4,14.55
1987,5,14.31
1987,6,14.28
1987,7,14.28
1987,8,14.35
1987,9,14.45
1987,10,14.55
1987,11,14.7
1987,12,14.63
1987,0,14.62
1988,1,14.62
1988,2,14.4
1988,3,14.19
1988,4,13.88
1988,5,13.71
1988,6,13.61
1988,7,13.62
1988,8,13.62
1988,9,13.8
1988,10,14.26
1988,11,14.76
1988,12,15.16
1988,0,14.14
1989,1,15.51
1989,2,15.55
1989,3,15.18
1989,4,14.54
1989,5,14.26
1989,6,14.37
1989,7,14.4
1989,8,14.61
1989,9,15.04
1989,10,15.65
1989,11,16.38
1989,12,17.15
1989,0,15.22
1990,1,17.97
1990,2,18.21
1990,3,17.22
1990,4,15.5
1990,5,15.3
1990,6,15.6
1990,7,16.06
1990,8,16.56
1990,9,16.71
1990,10,16.37
1990,11,15.78
1990,12,13.76
1990,0,16.2533333333
1991,1,13.53
1991,2,13.47
1991,3,13.44
1991,4,13.32
1991,5,13.3
1991,6,13.32
1991,7,13.51
1991,8,13.86
1991,9,14.27
1991,10,14.78
1991,11,15.3
1991,12,15.66
1991,0,13.98
1992,1,15.64
1992,2,15.26
1992,3,14.87
1992,4,14.37
1992,5,14.14
1992,6,14.62
1992,7,15.22
1992,8,15.62
1992,9,15.75
1992,10,15.7
1992,11,15.44
1992,12,15.21
1992,0,15.1533333333
1993,1,15
1993,2,14.5
1993,3,14.05
1993,4,13.9
1993,5,14.18
1993,6,15.31
1993,7,15.68
1993,8,15.19
1993,9,14.58
1993,10,14.33
1993,11,15.06
1993,12,15.62
1993,0,14.7833333333
1994,1,15.91
1994,2,15.67
1994,3,15.57
1994,4,15.57
1994,5,15.93
1994,6,16.15
1994,7,14.67
1994,8,14.41
1994,9,14.57
1994,10,14.89
1994,11,15.2
1994,12,15.45
1994,0,15.3325
1995,1,15.02
1995,2,14.54
1995,3,14.51
1995,4,14.95
1995,5,15.05
1995,6,14.32
1995,7,14.28
1995,8,14.58
1995,9,14.39
1995,10,14.71
1995,11,15.24
1995,12,15.77
1995,0,14.78
